Dystans (m),Wysokość (m)
79425.27542504732,389.7096557617188
79613.93403650825,380.1912536621094
79802.59264796917,381.4292602539062
79991.25125943008,393.403076171875
80179.909870891,408.1320190429688
80368.56848235193,407.3364868164062
80557.22709381285,381.0014953613281
80745.88570527377,371.4933166503906
80934.54431673468,388.6286926269531
81123.2029281956,376.40380859375
81311.86153965653,367.6242980957031
81500.52015111745,362.21142578125
81689.17876257836,360.2164001464844
81877.83737403929,364.0716552734375
82066.49598550021,375.0025634765625
82255.15459696113,376.0445251464844
82443.81320842204,364.6492309570312
82632.47181988297,345.708984375
82821.13043134389,332.6326599121094
83009.78904280481,322.7463073730469
83198.44765426572,327.1138916015625
83387.10626572664,336.9918823242188
83575.76487718757,341.7185363769531
83764.42348864849,350.2113952636719
83953.0821001094,361.2163391113281
84141.74071157032,373.8396301269531
84330.39932303125,370.2056274414062
84519.05793449217,362.19970703125
84707.71654595308,363.6432495117188
84896.375157414,364.0753173828125
85085.03376887493,353.1023864746094
85273.69238033585,338.8709411621094
85462.35099179676,329.9173889160156
85651.00960325768,321.9113464355469
85839.66821471861,313.747314453125
86028.32682617953,317.1163940429688
86216.98543764044,316.2773132324219
86405.64404910136,311.9236145019531
86594.30266056229,314.1961364746094
86782.96127202321,312.1587829589844
86971.61988348412,301.149658203125
87160.27849494504,291.081298828125
87348.93710640597,288
87537.59571786689,288.5668334960938
87726.2543293278,288.8970642089844
87914.91294078872,286.3743286132812
88103.57155224965,292.59765625
88292.23016371057,303.2776184082031
88480.88877517148,304.6393432617188
88669.5473866324,305.7590942382812
88858.20599809333,304.8347778320312
89046.86460955425,304.4787292480469
89235.52322101517,299.8013610839844
89424.18183247608,294.5143432617188
89612.840443937,297.2879028320312
89801.49905539793,301.4301147460938
89990.15766685885,307.7911071777344
90178.81627831976,307.0498962402344
90367.47488978069,311.9195556640625
90556.13350124161,311.5555419921875
90744.79211270253,307.7070007324219
90933.45072416344,301.3973999023438
91122.10933562437,307.2369689941406
91310.76794708529,303.8904418945312
91499.42655854621,304.7671203613281
91688.08517000712,303.42919921875
91876.74378146805,296.763916015625
92065.40239292897,297.1358642578125
92254.06100438989,299.8332214355469
92442.7196158508,295.6318054199219
92631.37822731172,291.3099365234375
92820.03683877265,295.3495788574219
93008.69545023357,290.3979187011719
93197.35406169448,284.7088317871094
93386.0126731554,280.9306335449219
93574.67128461633,278.9410095214844
93763.32989607725,277.4829711914062
93951.98850753816,277.0843811035156
94140.64711899908,279.3869323730469
94329.30573046001,278.5549926757812
94517.96434192093,275.101318359375
94706.62295338184,265.8871765136719
94895.28156484276,257.4998779296875
95083.94017630369,254.5220489501953
95272.59878776461,254.9718017578125
95461.25739922552,258.8421630859375
95649.91601068644,262.5754089355469
95838.57462214737,262.9630126953125
96027.23323360829,260.5047302246094
96215.8918450692,258.1357421875
96404.55045653012,254.1714477539062
